Time,SourceSatellite,TargetSatellite,Distance
2020-08-01 16:10:00,Sat1_14,Sat2_14,678.6241227728283
2020-08-01 16:15:00,Sat1_14,Sat2_14,666.0993895722095
2020-08-01 16:20:00,Sat1_14,Sat2_14,689.2619334858139
2020-08-01 16:25:00,Sat1_14,Sat2_14,735.9647645329337
2020-08-01 16:30:00,Sat1_14,Sat2_14,784.6303751186801
2020-08-01 16:00:00,Sat1_14,Sat1_15,1971.963783786925
2020-08-01 16:05:00,Sat1_14,Sat1_15,1971.9637837869213
2020-08-01 16:10:00,Sat1_14,Sat1_15,1971.9637837869216
2020-08-01 16:15:00,Sat1_14,Sat1_15,1971.9637837869225
2020-08-01 16:20:00,Sat1_14,Sat1_15,1971.9637837869234
2020-08-01 16:25:00,Sat1_14,Sat1_15,1971.9637837869245
2020-08-01 16:30:00,Sat1_14,Sat1_15,1971.916378708427
2020-08-01 16:00:00,Sat1_15,Sat2_15,726.6947880917429
2020-08-01 16:05:00,Sat1_15,Sat2_15,682.7481890117747
2020-08-01 16:10:00,Sat1_15,Sat2_15,665.6529807338724
2020-08-01 16:15:00,Sat1_15,Sat2_15,684.4896042436741
2020-08-01 16:20:00,Sat1_15,Sat2_15,729.284220612546
2020-08-01 16:25:00,Sat1_15,Sat2_15,778.9239915531494
2020-08-01 16:30:00,Sat1_15,Sat2_15,813.5964810752264
2020-08-01 16:00:00,Sat1_15,Sat1_16,1971.96378378692
2020-08-01 16:05:00,Sat1_15,Sat1_16,1971.9637837869175
2020-08-01 16:10:00,Sat1_15,Sat1_16,1971.9637837869186
2020-08-01 16:15:00,Sat1_15,Sat1_16,1971.963783786919
2020-08-01 16:20:00,Sat1_15,Sat1_16,1971.963783786918
2020-08-01 16:25:00,Sat1_15,Sat1_16,1971.963783786916
2020-08-01 16:30:00,Sat1_15,Sat1_16,1971.9163787086802
2020-08-01 16:00:00,Sat1_16,Sat2_16,687.3468979959223
2020-08-01 16:05:00,Sat1_16,Sat2_16,665.8488185248185
2020-08-01 16:10:00,Sat1_16,Sat2_16,680.1753815877144
2020-08-01 16:15:00,Sat1_16,Sat2_16,722.6827358920198
2020-08-01 16:20:00,Sat1_16,Sat2_16,772.9356173598084
2020-08-01 16:25:00,Sat1_16,Sat2_16,810.4515703083754
2020-08-01 16:30:00,Sat1_16,Sat2_16,822.0254804727813
2020-08-01 16:00:00,Sat1_16,Sat1_17,1971.9637837869188
2020-08-01 16:05:00,Sat1_16,Sat1_17,1971.9637837869186
2020-08-01 16:10:00,Sat1_16,Sat1_17,1971.9637837869188
